,respid,sample,int_date,fcall,attempt,refusal,lang,cregion,state,usr,scregion,sstate,susr,sdensity,timezone,comp,isex,irace1m1,irace1m2,irace1m3,irace1m4,ihisp1,form,phtype,qs1,q1,q2,q10af1,q10bf1,q14f2,q19,q20,q25,q33af1,q33bf1,q33cf1,q33df1,q33ff2,q33gf2,q33hf2,q33if2,q33jf2,q34f1,q44af1,q44bf1,q44cf1,q44ef1,q44ff1,q44gf1,q44hf2,q44if2,q44jf2,q44kf2,q44lf2,q44mf2,q44nf2,q47,q48f1,q49f2,q50a,q50b,q50c,q50d,q50e,q50ff1,q54f2,q55f1,q56f2,q57f2,q58,q60,q61a,q61b,q61c,q61df1,q61ef1,q61ff2,q61gf2,q61hf2,q61if1,q64,q65a,q65b,q65c,q65d,q65e,q66,q67,q68a,q68b,q68d,q69,q70,q70a,q71,q75,q76f1,q77f2,qi1,sex,age,educ,hisp,racecmb,racethn,birth_hisp,relig,chr,qf2,born,attend,income,reg,party,partyln,partysum,ideo,partyideo,partysumideo,hh1,hh3,adults,ql1,ql1a,qc1,ll,cp,money2,weight
1263,101761.0,Cell phone,190324.0,190324.0,3.0,Yes,English,West,CA,U,West,CA,,Highest,Pacific,Complete,Female,White,,,,No,FORM 2,,18 or older,Dissatisfied,Disapprove,,,Disapprove,Most of the time,Frustrated,Only some of the time,,,,,Not even tempered,Not well informed,Doesn't keep his promises,Stands up for what he believes in,Not a good manager,,,,,,,,Keep spending the same,Keep spending the same,Increase spending,Increase spending,Increase spending,Increase spending,Increase spending,"Yes, keeping promises",,Too little,Statement #1,Statement #1,Statement #1,Statement #1,Statement #2,,Not very much,,Good for the U.S. [OR],About as important to the U.S. as other NATO member countries,Oppose,Never fair game,A lot,A lot,Some,,,A lot,A lot,A lot,,Not fair at all,A lot,A lot,A lot,Not at all,A lot,Losing influence,Bad thing,Neutral toward religion,Neutral toward religion,Neutral toward religion,Should keep out of political matters,Disapprove,Very strongly,Very well,A lot,,Definitely done things that are unethical,Several times a day,Female,53.0,"Some college, no degree (includes some community college)",No,Black or African-American,Black non-Hispanic,,Protestant,,Very important,"Yes, would",Once a week,"10 to under $20,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Dem/lean Dem,Conservative,Cons-Mod Dem,Cons-Mod Dem/ln Dem,2.0,2.0,2,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,2.3965427
1264,101762.0,Cell phone,190325.0,190324.0,4.0,No,English,South,TX,S,West,WA,,4.0,Pacific,Complete,Female,White,,,,Yes,FORM 2,,18 or older,Satisfied,Approve,,,Approve,Most of the time,Frustrated,Only some of the time,,,,,Not even tempered,Well informed,Keeps his promises,Stands up for what he believes in,A good manager,,,,,,,,Keep spending the same,Increase spending,Keep spending the same,Keep spending the same,Keep spending the same,Keep spending the same,Increase spending,(VOL) Don't know/Refused,,About the right amount,Statement #2,(VOL) Neither/Both equally,(VOL) Neither/Both equally,Statement #2,Statement #1,,Not very much,,Good for the U.S. [OR],About as important to the U.S. as other NATO member countries,Strongly favor,Sometimes fair game [OR IS IT],Some,Some,Some,,,Some,Some,Some,,Moderately fair,Not at all,Not at all,Not too much,Not too much,Some,Losing influence,Bad thing,Unfriendly toward religion,Friendly toward religion,Friendly toward religion,Should express their views on day-to-day social and political questions,Approve,Very strongly,Very well,A lot,,Definitely not done things that are unethical,A few times a month,Male,31.0,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Christian,,Somewhat important,"Yes, would",Seldom,"50 to under $75,000","Are you PROBABLY registered, but there is a chance your registration has lapsed [OR]",Republican,,Rep/lean Rep,Conservative,Cons Rep,Cons Rep/ln Rep,5.0,2.0,2,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,0.6442157
1265,101764.0,Cell phone,190325.0,190324.0,3.0,No,English,West,CA,S,West,CA,,Highest,Pacific,Complete,Male,White,,,,Yes,FORM 2,,18 or older,Dissatisfied,Approve,,,Disapprove,Most of the time,Frustrated,Only some of the time,,,,,Not even tempered,Well informed,Keeps his promises,Stands up for what he believes in,A good manager,,,,,,,,Keep spending the same,Keep spending the same,Keep spending the same,Keep spending the same,Keep spending the same,Keep spending the same,Keep spending the same,"No, not keeping promises",,About the right amount,Statement #2,Statement #2,Statement #2,Statement #2,Statement #2,,Not very much,,Good for the U.S. [OR],About as important to the U.S. as other NATO member countries,Favor,Sometimes fair game [OR IS IT],Some,Some,Some,,,Some,Some,Only a little,,Moderately fair,Not too much,A lot,Some,A lot,Some,Losing influence,Good thing,Neutral toward religion,Neutral toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,Approve,Not so strongly,Not too well,A lot,,Probably done things that are unethical,Once a day,Female,56.0,"Some postgraduate or professional schooling, no postgraduate degree (e.g. some graduate school)",No,White,White non-Hispanic,,Catholic,,Somewhat important,"No, would not",Seldom,"50 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Republican,Rep/lean Rep,Conservative,Ind,Cons Rep/ln Rep,3.0,3.0,3 or more,,,"No, home telephone",No landline,Cellphone,Respondent agrees,0.670464
1266,101765.0,Cell phone,190325.0,190325.0,3.0,Yes,English,Midwest,OH,S,Midwest,OH,,4.0,Eastern,Complete,Female,White,,,,No,FORM 2,,18 or older,Dissatisfied,Disapprove,,,Disapprove,Most of the time,Angry,(VOL) Never,,,,,Not even tempered,Not well informed,Doesn't keep his promises,Doesn't stand up for what he believes in,Not a good manager,,,,,,,,Increase spending,Increase spending,Increase spending,Increase spending,Increase spending,Increase spending,Increase spending,"Yes, keeping promises",,Too little,Statement #1,Statement #2,Statement #2,Statement #1,Statement #2,,Not very much,,Good for the U.S. [OR],More important to other NATO member countries [OR],Oppose,Sometimes fair game [OR IS IT],Some,Only a little,Only a little,,,A lot,Some,A lot,,Not fair at all,A lot,Not at all,A lot,Not at all,A lot,Losing influence,Bad thing,Friendly toward religion,Neutral toward religion,Unfriendly toward religion,Should keep out of political matters,Disapprove,Very strongly,Very well,A lot,,Probably done things that are unethical,Several times a day,Male,64.0,High school graduate (Grade 12 with diploma or GED certificate),No,White,White non-Hispanic,,Nothing in particular,,Somewhat important,,Seldom,"30 to under $40,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Dem/lean Dem,Very liberal,Lib Dem,Lib Dem/ln Dem,2.0,2.0,2,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,1.2370224
1267,101766.0,Cell phone,190325.0,190325.0,6.0,No,Spanish,Northeast,NY,U,Northeast,NY,,Highest,Eastern,Complete,Female,White,,,,Yes,FORM 1,,18 or older,Dissatisfied,Disapprove,Approve,Disapprove,,Some of the time,Frustrated,Only some of the time,Not trustworthy,Able to get things done,A strong leader,Doesn't care about people like me,,,,,,Too impulsive,Increase spending,Increase spending,Increase spending,Keep spending the same,Increase spending,Keep spending the same,,,,,,,,"No, not keeping promises",None at all,,Statement #1,Statement #2,Statement #2,Statement #2,Statement #2,Statement #1,,"Bigger government, more services",,,Favor,Sometimes fair game [OR IS IT],A lot,A lot,A lot,A lot,A lot,,,,Only a little,Not fair at all,A lot,A lot,A lot,A lot,A lot,Increasing influence,Bad thing,Neutral toward religion,Neutral toward religion,Friendly toward religion,Should keep out of political matters,Disapprove,Very strongly,Somewhat well,A little,Probably done things that are illegal,,Several times a day,Female,36.0,"Some college, no degree (includes some community college)",Yes,Or some other race,Hispanic,Another country,Nothing in particular,,Somewhat important,,A few times a year,"40 to under $50,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Democrat,Dem/lean Dem,Very conservative,Ind,Cons-Mod Dem/ln Dem,2.0,2.0,2,,,"Yes, home telephone",Landline,Cellphone,Respondent agrees,2.0423881
1268,101767.0,Cell phone,190325.0,190325.0,5.0,No,English,Midwest,OH,S,Midwest,OH,,2.0,Eastern,Complete,Female,White,,,,No,FORM 2,,18 or older,Satisfied,Approve,,,Disapprove,Most of the time,Frustrated,Just about always,,,,,Even tempered,Well informed,Keeps his promises,Stands up for what he believes in,A good manager,,,,,,,,Decrease spending,Increase spending,Decrease spending,Increase spending,Decrease spending,Decrease spending,Increase spending,"No, not keeping promises",,(VOL) Don't know/Refused,Statement #2,Statement #2,Statement #1,Statement #2,Statement #2,,Not very much,,Bad for the U.S.,More important to other NATO member countries [OR],(VOL) Don't know/Refused,Never fair game,Some,(VOL) Don't know/Refused,None at all,,,(VOL) Don't know/Refused,(VOL) Don't know/Refused,(VOL) Don't know/Refused,,Moderately fair,Some,A lot,Some,Some,Some,(VOL) Same,(VOL) Depends,(VOL) Don't know/Refused,Neutral toward religion,Neutral toward religion,Should keep out of political matters,Approve,Very strongly,Somewhat well,A lot,,Definitely not done things that are unethical,Never,Male,55.0,High school graduate (Grade 12 with diploma or GED certificate),No,White,White non-Hispanic,,Nothing in particular,,Not too important,,Never,"50 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Dem/lean Dem,Conservative,Cons-Mod Dem,Cons-Mod Dem/ln Dem,2.0,2.0,2,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,0.8275716
1269,101769.0,Cell phone,190325.0,190325.0,5.0,No,English,Midwest,IL,S,Midwest,MI,,4.0,Eastern,Complete,Female,White,,,,No,FORM 1,,18 or older,Dissatisfied,Approve,Approve,Disapprove,,Some of the time,Frustrated,Only some of the time,Not trustworthy,Able to get things done,A strong leader,Doesn't care about people like me,,,,,,Too impulsive,Keep spending the same,Keep spending the same,Keep spending the same,Keep spending the same,Increase spending,Decrease spending,,,,,,,,"Yes, keeping promises",A fair amount,,Statement #1,Statement #1,Statement #1,Statement #1,Statement #1,Statement #2,,"Smaller government, fewer services",,,Strongly oppose,Never fair game,Some,Some,Some,Some,Some,,,,Some,Moderately fair,Not too much,Some,Some,Not too much,A lot,Losing influence,Bad thing,Unfriendly toward religion,Friendly toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,Approve,Not so strongly,Somewhat well,A lot,Probably not done things that are illegal [OR],,Several times a day,Male,40.0,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD, gr",No,White,White non-Hispanic,,Catholic,,Very important,"No, would not",Once a week,"$150,000 or more",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Republican,Rep/lean Rep,Moderate,Ind,Mod-Lib Rep/ln Rep,4.0,2.0,2,,,"No, home telephone",No landline,Cellphone,Respondent agrees,0.7474144
1270,101770.0,Cell phone,190325.0,190325.0,7.0,No,English,Northeast,MA,S,Northeast,MA,,4.0,Eastern,Complete,Female,White,,,,Yes,FORM 1,,18 or older,Dissatisfied,Disapprove,Disapprove,Approve,,Most of the time,Frustrated,Most of the time,Not trustworthy,Not able to get things done,Not a strong leader,Doesn't care about people like me,,,,,,Too cautious,Increase spending,Increase spending,Increase spending,Increase spending,Increase spending,Increase spending,,,,,,,,"Yes, keeping promises",None at all,,Statement #2,Statement #1,Statement #1,Statement #2,Statement #2,Statement #1,,"Bigger government, more services",,,Favor,Never fair game,A lot,A lot,None at all,None at all,A lot,,,,None at all,Not fair at all,Not at all,A lot,A lot,Not at all,Not at all,Losing influence,Bad thing,Friendly toward religion,Unfriendly toward religion,Friendly toward religion,Should express their views on day-to-day social and political questions,Disapprove,Very strongly,Very well,A lot,Definitely done things that are illegal,,Once a day,Female,63.0,High school graduate (Grade 12 with diploma or GED certificate),No,White,White non-Hispanic,,Protestant,,Very important,"Yes, would",A few times a year,(VOL) Don't know/Refused,Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Dem/lean Dem,Conservative,Cons-Mod Dem,Cons-Mod Dem/ln Dem,2.0,2.0,2,,,"Yes, home telephone",Landline,Cellphone,Respondent agrees,1.3347315
1271,101771.0,Cell phone,190325.0,190325.0,6.0,No,English,Midwest,OH,U,Midwest,OH,,2.0,Eastern,Complete,Male,Black or African-American,,,,No,FORM 1,,18 or older,Satisfied,Approve,Approve,Approve,,Only now and then,Basically content,Most of the time,Not trustworthy,Able to get things done,Not a strong leader,Cares about people like me,,,,,,About right,Decrease spending,Decrease spending,Keep spending the same,Keep spending the same,Decrease spending,Keep spending the same,,,,,,,,(VOL) Don't know/Refused,Not too much,,Statement #2,Statement #2,Statement #1,Statement #2,Statement #1,Statement #1,,"Smaller government, fewer services",,,Favor,Sometimes fair game [OR IS IT],Only a little,Only a little,None at all,Only a little,None at all,,,,None at all,Moderately fair,Not at all,Not at all,A lot,A lot,Not at all,Losing influence,Good thing,Friendly toward religion,Friendly toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,Disapprove,Not so strongly,Very well,A lot,Probably done things that are illegal,,A few times a month,Male,35.0,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Protestant,,Not too important,"No, would not",A few times a year,"75 to under $100,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Republican,Rep/lean Rep,Moderate,Ind,Mod-Lib Rep/ln Rep,3.0,2.0,2,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,0.7474144
1272,101773.0,Cell phone,190325.0,190325.0,6.0,No,English,Midwest,OH,S,Midwest,OH,,Highest,Eastern,Complete,Male,White,,,,No,FORM 2,,18 or older,Satisfied,Approve,,,Disapprove,Most of the time,Frustrated,Only some of the time,,,,,Even tempered,Well informed,Keeps his promises,Stands up for what he believes in,A good manager,,,,,,,,Increase spending,Increase spending,Keep spending the same,Keep spending the same,Keep spending the same,Keep spending the same,Keep spending the same,"No, not keeping promises",,About the right amount,Statement #2,Statement #1,Statement #1,Statement #2,Statement #2,,Good deal,,Good for the U.S. [OR],More important to other NATO member countries [OR],Strongly oppose,Sometimes fair game [OR IS IT],Some,Some,Some,,,Some,Some,Some,,Moderately fair,Not too much,Not too much,Some,Not too much,Some,Losing influence,Bad thing,Neutral toward religion,Friendly toward religion,Friendly toward religion,Should keep out of political matters,Approve,Very strongly,Somewhat well,A lot,,Probably not done things that are unethical [OR],Once a day,Male,70.0,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,Mixed Race,Other,,Protestant,,Very important,"Yes, would",More than once a week,"100 to under $150,000 [OR]",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Rep/lean Rep,Conservative,Cons Rep,Cons Rep/ln Rep,2.0,2.0,2,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,0.3961493
1273,101776.0,Cell phone,190325.0,190325.0,7.0,No,English,Midwest,MI,S,Midwest,MI,,3.0,Eastern,Complete,Female,White,,,,Yes,FORM 1,,18 or older,Dissatisfied,Disapprove,Disapprove,Approve,,Some of the time,Frustrated,Most of the time,Not trustworthy,Not able to get things done,Not a strong leader,Doesn't care about people like me,,,,,,Too impulsive,Keep spending the same,Decrease spending,Keep spending the same,Keep spending the same,Increase spending,Keep spending the same,,,,,,,,"Yes, keeping promises",None at all,,Statement #1,Statement #1,Statement #1,Statement #1,Statement #1,Statement #2,,"Bigger government, more services",,,Favor,Never fair game,Some,Some,Only a little,Only a little,Only a little,,,,Some,Not too fair,Not at all,Not too much,A lot,Not at all,Some,Losing influence,Bad thing,Neutral toward religion,Friendly toward religion,Neutral toward religion,Should keep out of political matters,Disapprove,Very strongly,Very well,A lot,Definitely done things that are illegal,,A few times a week,Male,39.0,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD, gr",No,White,White non-Hispanic,,Christian,,Very important,"No, would not",Once a week,"100 to under $150,000 [OR]",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Democrat,Dem/lean Dem,Moderate,Ind,Cons-Mod Dem/ln Dem,5.0,2.0,2,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,0.6886815
1274,101777.0,Cell phone,190325.0,190325.0,6.0,No,English,Midwest,OH,S,Midwest,OH,,4.0,Eastern,Complete,Female,White,,,,Yes,FORM 2,,18 or older,Satisfied,Approve,,,Disapprove,Some of the time,Basically content,Only some of the time,,,,,Even tempered,Well informed,Keeps his promises,Stands up for what he believes in,A good manager,,,,,,,,Decrease spending,Keep spending the same,Decrease spending,Keep spending the same,Decrease spending,Decrease spending,Decrease spending,"Yes, keeping promises",,About the right amount,Statement #2,Statement #2,Statement #2,Statement #2,Statement #2,,Good deal,,Bad for the U.S.,More important to other NATO member countries [OR],Oppose,Never fair game,Only a little,Only a little,Some,,,None at all,Only a little,Only a little,,Moderately fair,Not too much,Not too much,Not at all,Not at all,Not at all,Losing influence,Bad thing,Unfriendly toward religion,Friendly toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,(VOL) Don't know/Refused,,Not at all well,A lot,,Probably not done things that are unethical [OR],Once a day,Male,59.0,Two year associate degree from a college or university,No,White,White non-Hispanic,,Protestant,,Very important,"No, would not",Once a week,"20 to under $30,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Republican,Rep/lean Rep,Moderate,Ind,Mod-Lib Rep/ln Rep,1.0,,1,,,"Yes, home telephone",Landline,Cellphone,Respondent agrees,0.3419594
1275,101782.0,Cell phone,190325.0,190325.0,3.0,Yes,English,Northeast,MA,S,Northeast,MA,,3.0,Eastern,Complete,Female,White,,,,No,FORM 1,,18 or older,Satisfied,Approve,Approve,Disapprove,,Most of the time,Frustrated,Just about always,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,,About right,Keep spending the same,Increase spending,Increase spending,Keep spending the same,Increase spending,Keep spending the same,,,,,,,,"No, not keeping promises",A great deal,,Statement #2,Statement #1,Statement #1,Statement #2,(VOL) Don't know/Refused,Statement #2,,"Smaller government, fewer services",,,(VOL) Don't know/Refused,Sometimes fair game [OR IS IT],Some,Only a little,None at all,Only a little,Some,,,,Only a little,Moderately fair,Not at all,Not at all,Not at all,Some,Not at all,Losing influence,Bad thing,Unfriendly toward religion,Neutral toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,Approve,Very strongly,(VOL) Don't know/Refused,A lot,Definitely not done things that are illegal,,A few times a week,Male,(VOL) Don't know/Refused,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Protestant,,Very important,"No, would not",Once or twice a month,"$150,000 or more",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Rep/lean Rep,Very conservative,Cons Rep,Cons Rep/ln Rep,2.0,2.0,2,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,0.3742173
1276,101784.0,Cell phone,190325.0,190325.0,6.0,No,English,Northeast,CT,U,Northeast,CT,,4.0,Eastern,Complete,Female,White,,,,Yes,FORM 2,,18 or older,Dissatisfied,Disapprove,,,Approve,Only now and then,Basically content,Only some of the time,,,,,Not even tempered,Not well informed,Doesn't keep his promises,Stands up for what he believes in,Not a good manager,,,,,,,,Keep spending the same,Keep spending the same,Increase spending,Increase spending,Increase spending,Keep spending the same,Increase spending,"No, not keeping promises",,Too little,Statement #1,Statement #2,Statement #2,Statement #1,Statement #1,,Not very much,,Good for the U.S. [OR],About as important to the U.S. as other NATO member countries,Strongly favor,Never fair game,A lot,A lot,None at all,,,A lot,Only a little,A lot,,Not too fair,A lot,A lot,A lot,Not at all,A lot,Losing influence,(VOL) Neither,Friendly toward religion,Friendly toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,Disapprove,Not so strongly,Somewhat well,A lot,,Definitely done things that are unethical,Once a day,Female,37.0,"Some college, no degree (includes some community college)",No,Mixed Race,Other,,Christian,,Very important,"Yes, would",Once a week,"100 to under $150,000 [OR]",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Dem/lean Dem,Liberal [OR],Lib Dem,Lib Dem/ln Dem,3.0,2.0,2,,,"Yes, home telephone",Landline,Cellphone,Respondent agrees,1.6401673
1277,101785.0,Cell phone,190325.0,190325.0,5.0,No,English,Northeast,PA,S,Northeast,PA,,4.0,Eastern,Complete,Female,White,,,,Yes,FORM 2,,18 or older,Dissatisfied,Approve,,,Disapprove,Most of the time,Basically content,Just about always,,,,,Even tempered,Well informed,Keeps his promises,Stands up for what he believes in,A good manager,,,,,,,,Increase spending,Increase spending,Decrease spending,Keep spending the same,Keep spending the same,Decrease spending,Increase spending,"No, not keeping promises",,About the right amount,Statement #2,Statement #2,Statement #2,Statement #2,Statement #1,,Good deal,,Bad for the U.S.,More important to other NATO member countries [OR],(VOL) Don't know/Refused,Sometimes fair game [OR IS IT],None at all,None at all,A lot,,,None at all,A lot,None at all,,Very fair,A lot,Some,Some,Some,Not at all,Losing influence,Bad thing,Unfriendly toward religion,Friendly toward religion,Friendly toward religion,Should express their views on day-to-day social and political questions,Approve,Very strongly,Very well,A lot,,Probably not done things that are unethical [OR],A few times a month,Male,83.0,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Protestant,Yes,Very important,"No, would not",Once a week,(VOL) Don't know/Refused,Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Dem/lean Dem,Conservative,Cons-Mod Dem,Cons-Mod Dem/ln Dem,2.0,2.0,2,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,0.4899586
1278,101790.0,Cell phone,190325.0,190325.0,4.0,No,English,Midwest,IN,R,Midwest,IN,,2.0,Eastern,Complete,Male,White,,,,No,FORM 1,,18 or older,Dissatisfied,Disapprove,Disapprove,Approve,,Most of the time,Angry,Only some of the time,Not trustworthy,Not able to get things done,Not a strong leader,Doesn't care about people like me,,,,,,Too impulsive,Increase spending,Keep spending the same,Keep spending the same,Keep spending the same,Increase spending,Increase spending,,,,,,,,"Yes, keeping promises",None at all,,Statement #1,Statement #1,Statement #2,Statement #1,Statement #1,Statement #2,,"Smaller government, fewer services",,,Favor,Sometimes fair game [OR IS IT],Some,A lot,Only a little,Some,Some,,,,Only a little,Not too fair,Some,Some,A lot,Not too much,A lot,Losing influence,Good thing,Friendly toward religion,Friendly toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,Disapprove,Very strongly,Somewhat well,A lot,Definitely done things that are illegal,,Seldom,Male,64.0,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Agnostic,,Not too important,,Seldom,"30 to under $40,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Dem/lean Dem,Liberal [OR],Lib Dem,Lib Dem/ln Dem,2.0,2.0,2,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,0.4506835
1279,101794.0,Cell phone,190325.0,190325.0,3.0,No,English,Midwest,IN,U,Midwest,IN,,3.0,Central,Complete,Female,White,,,,No,FORM 1,,18 or older,Dissatisfied,Approve,Disapprove,Disapprove,,Most of the time,Frustrated,Only some of the time,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,,Too impulsive,Increase spending,Increase spending,Increase spending,Keep spending the same,Increase spending,Keep spending the same,,,,,,,,"No, not keeping promises",Not too much,,Statement #2,Statement #2,Statement #2,Statement #2,Statement #2,Statement #1,,"Bigger government, more services",,,Oppose,Never fair game,Some,Some,Some,Some,Some,,,,Some,Moderately fair,Some,A lot,A lot,A lot,A lot,Losing influence,Bad thing,Friendly toward religion,Friendly toward religion,Friendly toward religion,Should express their views on day-to-day social and political questions,(VOL) Don't know/Refused,,Somewhat well,A little,Probably not done things that are illegal [OR],,A few times a month,Male,61.0,"Some postgraduate or professional schooling, no postgraduate degree (e.g. some graduate school)",No,White,White non-Hispanic,,Catholic,,Very important,"Yes, would",Once a week,"30 to under $40,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Rep/lean Rep,Conservative,Cons Rep,Cons Rep/ln Rep,2.0,2.0,2,,,"Yes, home telephone",Landline,Cellphone,Respondent agrees,0.4228152
1280,101797.0,Cell phone,190325.0,190325.0,5.0,No,English,Northeast,NY,,Northeast,NY,,Highest,Eastern,Complete,Female,Or some other race,,,,No,FORM 2,,18 or older,Dissatisfied,Disapprove,,,Approve,Most of the time,Angry,Only some of the time,,,,,Not even tempered,Not well informed,Doesn't keep his promises,Stands up for what he believes in,Not a good manager,,,,,,,,Decrease spending,Increase spending,Decrease spending,Increase spending,Increase spending,Increase spending,Increase spending,"No, not keeping promises",,Too little,Statement #1,Statement #2,Statement #1,Statement #1,Statement #1,,Good deal,,Good for the U.S. [OR],About as important to the U.S. as other NATO member countries,Strongly oppose,Never fair game,A lot,A lot,Only a little,,,A lot,A lot,A lot,,Moderately fair,Not too much,Not at all,A lot,Not too much,A lot,Losing influence,Bad thing,Friendly toward religion,Friendly toward religion,Friendly toward religion,Should express their views on day-to-day social and political questions,Disapprove,Very strongly,Very well,A lot,,Definitely done things that are unethical,(VOL) Don't know/Refused,Female,(VOL) Don't know/Refused,(VOL) Don't know/Refused,(VOL) Don't know/Refused,Don't know/Refused (VOL.),Don't know/Refused (VOL.),,Atheist,,(VOL) Don't know/Refused,,(VOL) Don't know/Refused,"$150,000 or more",(VOL) Don't know/Refused,Independent,(VOL) Other/Don't know/Refused,DK/Ref-no lean,Moderate,Ind,,Don't know/Refused,Don't know/Refused,2,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,1.0010795
1281,101798.0,Cell phone,190325.0,190325.0,2.0,No,English,Northeast,NJ,S,Northeast,NJ,,4.0,Eastern,Complete,Female,Black or African-American,,,,No,FORM 1,,18 or older,Satisfied,(VOL) Don't know/Refused,(VOL) Don't know/Refused,(VOL) Don't know/Refused,,Some of the time,Frustrated,Only some of the time,(VOL) Neither particularly,Able to get things done,Not a strong leader,(VOL) Neither particularly,,,,,,About right,Keep spending the same,Keep spending the same,Increase spending,Keep spending the same,Increase spending,Keep spending the same,,,,,,,,(VOL) Don't know/Refused,(VOL) Don't know/Refused,,Statement #2,Statement #1,(VOL) Neither/Both equally,Statement #1,(VOL) Neither/Both equally,(VOL) Neither/Both equally,,"Smaller government, fewer services",,,Favor,Sometimes fair game [OR IS IT],(VOL) Don't know/Refused,Some,Some,Only a little,None at all,,,,A lot,Not fair at all,Not at all,(VOL) Don't know/Refused,Some,(VOL) Don't know/Refused,Some,Increasing influence,Good thing,(VOL) Don't know/Refused,(VOL) Don't know/Refused,Friendly toward religion,Should express their views on day-to-day social and political questions,(VOL) Don't know/Refused,,Very well,A lot,(VOL) Don't know/Refused,,Never,Male,34.0,"Some college, no degree (includes some community college)",No,White,White non-Hispanic,,Atheist,,Not at all important,,Never,"Less than $10,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,(VOL) Other/Don't know/Refused,DK/Ref-no lean,Liberal [OR],Ind,,3.0,3.0,3 or more,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,1.3026346
